date,sales,temp
2015-09-03,68,305
2015-09-04,63,301
2015-09-05,47,300
2015-09-06,55,302
2015-09-07,43,305
2015-09-08,100,307
2015-09-09,91,305
2015-09-10,30,300
2015-09-11,76,299
2015-09-12,41,298
2015-09-13,53,298
2015-09-14,96,297
2015-09-15,103,301
2015-09-16,107,302
2015-09-17,88,303
2015-09-18,119,302
2015-09-19,78,300
2015-09-20,68,298
2015-09-21,113,294
2015-09-22,107,294
2015-09-23,117,298
2015-09-24,138,299
2015-09-25,127,296
2015-09-26,80,294
2015-09-27,53,294
2015-09-28,136,298
2015-09-29,107,300
2015-09-30,72,297
2015-10-01,85,NA
2015-10-02,17,NA
2015-10-03,17,NA
2015-10-04,46,NA
2015-10-05,87,NA
2015-10-06,103,NA
2015-10-07,83,NA
2015-10-08,79,NA
2015-10-09,73,NA
2015-10-10,43,NA
2015-10-11,34,NA
2015-10-12,85,NA
2015-10-13,105,NA
2015-10-14,89,NA
2015-10-15,94,NA
2015-10-16,86,NA
2015-10-17,26,NA
2015-10-18,20,NA
2015-10-19,72,NA
2015-10-20,84,NA
2015-10-21,99,NA
2015-10-22,81,NA
2015-10-23,77,NA
2015-10-24,40,NA
2015-10-25,29,NA
2015-10-26,76,NA
2015-10-27,73,NA
2015-10-28,51,NA
2015-10-29,76,NA
2015-10-30,98,NA
2015-10-31,24,NA
2015-11-01,36,NA
2015-11-02,91,NA
2015-11-03,85,NA
2015-11-04,83,NA
2015-11-05,73,NA
2015-11-06,84,NA
2015-11-07,33,NA
2015-11-08,32,NA
2015-11-09,82,NA
2015-11-10,29,NA
2015-11-11,81,NA
2015-11-12,74,NA
2015-11-13,93,NA
2015-11-14,19,NA
2015-11-15,35,NA
2015-11-16,92,NA
2015-11-17,68,NA
2015-11-18,76,NA
2015-11-19,39,NA
2015-11-20,89,NA
2015-11-21,33,NA
2015-11-22,33,NA
2015-11-23,76,NA
2015-11-24,68,NA
2015-11-25,67,NA
2015-11-26,8,NA
2015-11-27,38,NA
2015-11-28,20,NA
2015-11-29,20,NA
2015-11-30,70,NA
2015-12-01,34,NA
2015-12-02,50,NA
2015-12-03,62,NA
2015-12-04,78,NA
2015-12-05,23,NA
2015-12-06,29,NA
2015-12-07,70,NA
2015-12-08,74,NA
2015-12-09,69,NA
2015-12-10,96,NA
2015-12-11,73,NA
2015-12-12,26,NA
2015-12-13,32,NA
2015-12-14,65,NA
2015-12-15,83,NA
2015-12-16,59,NA
2015-12-17,46,NA
2015-12-18,62,NA
2015-12-19,25,NA
2015-12-20,19,NA
2015-12-21,73,NA
2015-12-22,46,NA
2015-12-23,27,NA
2015-12-24,33,NA
2015-12-25,6,NA
2015-12-26,34,NA
2015-12-27,11,NA
2015-12-28,50,NA
2015-12-29,43,NA
2015-12-30,68,NA
2015-12-31,53,NA
2016-01-01,12,NA
2016-01-02,12,NA
2016-01-03,15,NA
2016-01-04,48,NA
2016-01-05,46,NA
2016-01-06,61,NA
2016-01-07,50,NA
2016-01-08,67,NA
2016-01-09,20,NA
2016-01-10,14,NA
2016-01-11,48,NA
2016-01-12,49,NA
2016-01-13,43,NA
2016-01-14,55,NA
2016-01-15,70,NA
2016-01-16,24,NA
2016-01-17,16,NA
2016-01-18,14,NA
2016-01-19,35,NA
2016-01-20,54,NA
2016-01-21,44,NA
2016-01-22,42,NA
2016-01-23,0,NA
2016-01-24,0,NA
2016-01-25,0,NA
2016-01-26,0,NA
2016-01-27,0,NA
2016-01-28,22,NA
2016-01-29,24,NA
2016-01-30,15,NA
2016-01-31,20,NA
2016-02-01,49,NA
2016-02-02,47,NA
2016-02-03,24,NA
2016-02-04,56,NA
2016-02-05,34,NA
2016-02-06,21,NA
2016-02-07,22,NA
2016-02-08,36,NA
2016-02-09,45,NA
2016-02-10,50,NA
2016-02-11,40,NA
2016-02-12,33,NA
2016-02-13,10,NA
2016-02-14,10,NA
2016-02-15,12,NA
2016-02-16,32,NA
2016-02-17,47,NA
2016-02-18,50,NA
2016-02-19,39,NA
2016-02-20,43,NA
2016-02-21,34,NA
2016-02-22,56,NA
2016-02-23,18,NA
2016-02-24,15,NA
2016-02-25,39,NA
2016-02-26,51,NA
2016-02-27,19,NA
2016-02-28,40,NA
2016-02-29,68,NA
2016-03-01,65,NA
2016-03-02,58,NA
2016-03-03,55,NA
2016-03-04,38,NA
2016-03-05,16,NA
2016-03-06,17,NA
2016-03-07,49,NA
2016-03-08,61,NA
2016-03-09,59,NA
2016-03-10,78,NA
2016-03-11,53,NA
2016-03-12,32,NA
2016-03-13,35,NA
2016-03-14,22,NA
2016-03-15,57,NA
2016-03-16,66,NA
2016-03-17,71,NA
2016-03-18,53,NA
2016-03-19,29,NA
2016-03-20,25,NA
2016-03-21,43,NA
2016-03-22,53,NA
2016-03-23,64,NA
2016-03-24,66,NA
2016-03-25,56,NA
2016-03-26,19,NA
2016-03-27,25,NA
2016-03-28,25,NA
2016-03-29,39,NA
2016-03-30,55,NA
2016-03-31,67,NA
2016-04-01,42,NA
2016-04-02,22,NA
2016-04-03,11,NA
2016-04-04,25,NA
2016-04-05,32,NA
2016-04-06,35,NA
2016-04-07,48,NA
2016-04-08,46,NA
2016-04-09,14,NA
2016-04-10,26,NA
2016-04-11,60,NA
2016-04-12,30,NA
2016-04-13,67,NA
2016-04-14,72,NA
2016-04-15,62,NA
2016-04-16,45,NA
2016-04-17,38,NA
2016-04-18,86,NA
2016-04-19,81,NA
2016-04-20,91,NA
2016-04-21,90,NA
2016-04-22,75,NA
2016-04-23,32,NA
2016-04-24,34,NA
2016-04-25,72,NA
2016-04-26,78,NA
2016-04-27,78,NA
2016-04-28,75,NA
2016-04-29,68,NA
2016-04-30,49,NA
2016-05-01,11,NA
2016-05-02,75,NA
2016-05-03,28,NA
2016-05-04,49,NA
2016-05-05,78,NA
2016-05-06,24,NA
2016-05-07,36,NA
2016-05-08,31,NA
2016-05-09,88,NA
2016-05-10,79,NA
2016-05-11,103,NA
2016-05-12,87,NA
2016-05-13,61,NA
2016-05-14,62,NA
2016-05-15,46,NA
2016-05-16,94,NA
2016-05-17,82,NA
2016-05-18,78,NA
2016-05-19,100,NA
2016-05-20,98,NA
2016-05-21,38,NA
2016-05-22,57,NA
2016-05-23,95,NA
2016-05-24,57,NA
2016-05-25,108,NA
2016-05-26,93,NA
2016-05-27,61,NA
2016-05-28,44,NA
2016-05-29,37,NA
2016-05-30,39,NA
2016-05-31,102,NA
2016-06-01,97,NA
2016-06-02,83,NA
2016-06-03,49,NA
2016-06-04,27,NA
2016-06-05,22,NA
2016-06-06,104,NA
2016-06-07,116,NA
2016-06-08,74,NA
2016-06-09,88,NA
2016-06-10,102,NA
2016-06-11,45,NA
2016-06-12,42,NA
2016-06-13,107,NA
2016-06-14,105,NA
2016-06-15,99,NA
2016-06-16,72,NA
2016-06-17,85,NA
2016-06-18,61,NA
